Name,Class,Lv,Ex,HP,Str,Skl,Wlv,Spd,Lck,Def,Res,Mov
Marth,Lord,1,0,18,5,3,5,7,7,7,0,7
Caeda,Pegasus Knight,1,0,16,3,6,7,12,9,7,0,8
Jagen,Paladin,1,0,20,7,10,10,8,1,9,0,10
Cain,Cavalier,1,0,18,7,5,5,6,3,7,0,9
Abel,Cavalier,1,0,18,6,7,6,7,2,7,0,9
Draug,Knight,1,0,18,7,3,4,3,1,11,0,5
Gordon,Archer,1,0,16,5,1,5,4,4,6,0,5
Wrys,Curate,1,0,16,1,5,3,7,1,3,0,5
Ogma,Mercenary,2,0,20,6,11,6,12,3,6,0,7
Barst,Fighter,5,0,24,10,6,6,9,5,6,0,6
Bord,Fighter,3,0,20,8,4,5,7,1,5,0,6
Cord,Fighter,3,0,20,7,5,3,9,5,5,0,6
Castor,Hunter,3,26,21,7,2,6,6,0,4,0,6
Darros,Pirate,3,24,21,6,2,6,7,0,5,0,6
,,,,,,,,,,,,
